source_id	derivative_id	subject_id	session_id	output_num	output_size	nifti_num	nifti_size	html_num
ds001894	MRIQC-22.0.1	sub-001	ses-T1	13	0	0	0	0
ds001894	MRIQC-22.0.1	sub-001	ses-T2	5	0	0	0	0
ds001894	MRIQC-22.0.1	sub-002	ses-T1	13	0	0	0	0
ds001894	MRIQC-22.0.1	sub-002	ses-T2	5	0	0	0	0
ds001894	MRIQC-22.0.1	sub-003	ses-T1	13	0	0	0	0
ds001894	MRIQC-22.0.1	sub-003	ses-T2	5	0	0	0	0
ds001894	MRIQC-22.0.1	sub-004	ses-T1	13	0	0	0	0
ds001894	MRIQC-22.0.1	sub-005	ses-T1	13	0	0	0	0
ds001894	MRIQC-22.0.1	sub-006	ses-T1	13	0	0	0	0
ds001894	MRIQC-22.0.1	sub-006	ses-T2	5	0	0	0	0
ds001894	MRIQC-22.0.1	sub-007	ses-T1	13	0	0	0	0
ds001894	MRIQC-22.0.1	sub-007	ses-T2	5	0	0	0	0
ds001894	MRIQC-22.0.1	sub-008	ses-T1	13	0	0	0	0
ds001894	MRIQC-22.0.1	sub-009	ses-T1	13	0	0	0	0
ds001894	MRIQC-22.0.1	sub-010	ses-T1	13	0	0	0	0
ds001894	MRIQC-22.0.1	sub-011	ses-T1	13	0	0	0	0
ds001894	MRIQC-22.0.1	sub-012	ses-T1	9	0	0	0	0
ds001894	MRIQC-22.0.1	sub-013	ses-T1	4	0	0	0	0
ds001894	MRIQC-22.0.1	sub-014	ses-T1	5	0	0	0	0
ds001894	MRIQC-22.0.1	sub-015	ses-T1	13	0	0	0	0
ds001894	MRIQC-22.0.1	sub-016	ses-T1	13	0	0	0	0
ds001894	MRIQC-22.0.1	sub-017	ses-T1	12	0	0	0	0
ds001894	MRIQC-22.0.1	sub-018	ses-T1	13	0	0	0	0
ds001894	MRIQC-22.0.1	sub-018	ses-T2	5	0	0	0	0
ds001894	MRIQC-22.0.1	sub-019	ses-T1	8	0	0	0	0
ds001894	MRIQC-22.0.1	sub-020	ses-T1	11	0	0	0	0
ds001894	MRIQC-22.0.1	sub-021	ses-T1	13	0	0	0	0
ds001894	MRIQC-22.0.1	sub-021	ses-T2	5	0	0	0	0
ds001894	MRIQC-22.0.1	sub-022	ses-T1	9	0	0	0	0
ds001894	MRIQC-22.0.1	sub-022	ses-T2	5	0	0	0	0
ds001894	MRIQC-22.0.1	sub-023	ses-T1	13	0	0	0	0
ds001894	MRIQC-22.0.1	sub-024	ses-T1	9	0	0	0	0
ds001894	MRIQC-22.0.1	sub-024	ses-T2	5	0	0	0	0
ds001894	MRIQC-22.0.1	sub-025	ses-T1	10	0	0	0	0
ds001894	MRIQC-22.0.1	sub-025	ses-T2	5	0	0	0	0
ds001894	MRIQC-22.0.1	sub-026	ses-T1	13	0	0	0	0
ds001894	MRIQC-22.0.1	sub-026	ses-T2	5	0	0	0	0
ds001894	MRIQC-22.0.1	sub-027	ses-T1	13	0	0	0	0
ds001894	MRIQC-22.0.1	sub-028	ses-T1	9	0	0	0	0
ds001894	MRIQC-22.0.1	sub-029	ses-T1	13	0	0	0	0
ds001894	MRIQC-22.0.1	sub-029	ses-T2	5	0	0	0	0
ds001894	MRIQC-22.0.1	sub-030	ses-T1	5	0	0	0	0
