source_id	subject_id	session_id	bold_num	t1w_num	t2w_num	bold_size	t1w_size	bold_duration_total	bold_duration_mean	bold_voxels_total	bold_voxels_mean	datatypes
ds001894	sub-001	ses-T1	12	1	0	1413976924	8183191	4704.0	392.0	5898240	491520.0	anat,dwi,func
ds001894	sub-001	ses-T2	4	1	0	467475746	7298942	1568.0	392.0	1966080	491520.0	anat,func
ds001894	sub-002	ses-T1	12	1	0	1489080779	9114551	4704.0	392.0	5898240	491520.0	anat,dwi,func
ds001894	sub-002	ses-T2	4	1	0	489480808	8648116	1568.0	392.0	1966080	491520.0	anat,func
ds001894	sub-003	ses-T1	12	1	0	1473928258	8766062	4704.0	392.0	5898240	491520.0	anat,dwi,func
ds001894	sub-003	ses-T2	4	1	0	473949515	8775862	1568.0	392.0	1966080	491520.0	anat,func
ds001894	sub-004	ses-T1	12	1	0	1455579546	8475023	4704.0	392.0	5898240	491520.0	anat,func
ds001894	sub-005	ses-T1	12	1	0	1448217118	8522606	4704.0	392.0	5898240	491520.0	anat,func
ds001894	sub-006	ses-T1	12	1	0	1439129354	8525886	4704.0	392.0	5898240	491520.0	anat,dwi,func
ds001894	sub-006	ses-T2	4	1	0	468471962	8718396	1568.0	392.0	1966080	491520.0	anat,func
ds001894	sub-007	ses-T1	12	1	0	1452549236	7237976	4704.0	392.0	5898240	491520.0	anat,dwi,func
ds001894	sub-007	ses-T2	4	1	0	471530440	8934317	1568.0	392.0	1966080	491520.0	anat,func
ds001894	sub-008	ses-T1	12	1	0	1486733098	8934672	4704.0	392.0	5898240	491520.0	anat,dwi,func
ds001894	sub-009	ses-T1	12	1	0	1463364630	8935899	4704.0	392.0	5898240	491520.0	anat,func
ds001894	sub-010	ses-T1	12	1	0	1465194352	7303985	4704.0	392.0	5898240	491520.0	anat,func
ds001894	sub-011	ses-T1	12	1	0	1476597074	8511634	4704.0	392.0	5898240	491520.0	anat,func
ds001894	sub-012	ses-T1	8	1	0	961196270	8548427	3136.0	392.0	3932160	491520.0	anat,func
ds001894	sub-013	ses-T1	3	1	0	375124032	8771654	1176.0	392.0	1474560	491520.0	anat,dwi,func
ds001894	sub-014	ses-T1	4	1	0	477557084	8221738	1568.0	392.0	1966080	491520.0	anat,func
ds001894	sub-015	ses-T1	12	1	0	1447124137	8443473	4704.0	392.0	5898240	491520.0	anat,dwi,func
ds001894	sub-016	ses-T1	12	1	0	1435582746	8083774	4704.0	392.0	5898240	491520.0	anat,dwi,func
ds001894	sub-017	ses-T1	11	1	0	1308504542	7802086	4312.0	392.0	5406720	491520.0	anat,dwi,func
ds001894	sub-018	ses-T1	12	1	0	1542153422	8275552	4704.0	392.0	5898240	491520.0	anat,func
ds001894	sub-018	ses-T2	4	1	0	500028416	8212744	1568.0	392.0	1966080	491520.0	anat,func
ds001894	sub-019	ses-T1	7	1	0	832260043	8283545	2744.0	392.0	3440640	491520.0	anat,func
ds001894	sub-020	ses-T1	10	1	0	1227111958	8880172	3920.0	392.0	4915200	491520.0	anat,dwi,func
ds001894	sub-021	ses-T1	12	1	0	1442130360	8864104	4704.0	392.0	5898240	491520.0	anat,dwi,func
ds001894	sub-021	ses-T2	4	1	0	480001434	8942985	1568.0	392.0	1966080	491520.0	anat,func
ds001894	sub-022	ses-T1	8	1	0	984169022	8754980	3136.0	392.0	3932160	491520.0	anat,dwi,func
ds001894	sub-022	ses-T2	4	1	0	451847902	8915494	1568.0	392.0	1966080	491520.0	anat,func
ds001894	sub-023	ses-T1	12	1	0	1430472062	8727931	4704.0	392.0	5898240	491520.0	anat,dwi,func
ds001894	sub-024	ses-T1	8	1	0	1056609140	7683997	3136.0	392.0	3932160	491520.0	anat,func
ds001894	sub-024	ses-T2	4	1	0	499820689	8410363	1568.0	392.0	1966080	491520.0	anat,func
ds001894	sub-025	ses-T1	9	1	0	1164046428	8585875	3526.0	391.77777777777777	4423680	491520.0	anat,dwi,func
ds001894	sub-025	ses-T2	4	1	0	511458429	7673013	1616.0	404.0	1966080	491520.0	anat,func
ds001894	sub-026	ses-T1	12	1	0	1412767155	8223673	4704.0	392.0	5898240	491520.0	anat,dwi,func
ds001894	sub-026	ses-T2	4	1	0	445991366	8293397	1568.0	392.0	1966080	491520.0	anat,func
ds001894	sub-027	ses-T1	12	1	0	1367126814	8205517	4704.0	392.0	5898240	491520.0	anat,func
ds001894	sub-028	ses-T1	8	1	0	928767245	7018162	3136.0	392.0	3932160	491520.0	anat,dwi,func
ds001894	sub-029	ses-T1	12	1	0	1441846914	8408472	4704.0	392.0	5898240	491520.0	anat,dwi,func
ds001894	sub-029	ses-T2	4	1	0	479284294	8673518	1568.0	392.0	1966080	491520.0	anat,func
ds001894	sub-030	ses-T1	4	1	0	484229993	8001491	1568.0	392.0	1966080	491520.0	anat,func
ds001894	sub-031	ses-T1	3	1	0	357523395	8279198	1176.0	392.0	1474560	491520.0	anat,func
ds001894	sub-032	ses-T1	12	1	0	1385714358	8410800	4704.0	392.0	5898240	491520.0	anat,func
